drug1,class1,drug2,class2,severity,source
oxycodone,opioid,erythromycin,antibiotic_macrolide,3,FDA label (openFDA)
oxycodone,opioid,ritonavir,antiviral_HIV,3,FDA label (openFDA)
oxycodone,opioid,carbamazepine,antiepileptic_CYP_inducer,3,FDA label (openFDA)
oxycodone,opioid,phenytoin,antiepileptic_CYP_inducer,3,FDA label (openFDA)
oxycodone,opioid,morphine,opioid,3,FDA label (openFDA)
oxycodone,opioid,tramadol,opioid,1,FDA label (openFDA)
tramadol,opioid,ketoconazole,antifungal_azole,3,FDA label (openFDA)
tramadol,opioid,erythromycin,antibiotic_macrolide,3,FDA label (openFDA)
tramadol,opioid,ritonavir,antiviral_HIV,3,FDA label (openFDA)
tramadol,opioid,phenytoin,antiepileptic_CYP_inducer,3,FDA label (openFDA)
tramadol,opioid,warfarin,anticoagulant_warfarin,1,FDA label (openFDA)
tramadol,opioid,digoxin,digoxin,1,FDA label (openFDA)
fentanyl,opioid,ketoconazole,antifungal_azole,3,FDA label (openFDA)
fentanyl,opioid,erythromycin,antibiotic_macrolide,3,FDA label (openFDA)
fentanyl,opioid,carbamazepine,antiepileptic_CYP_inducer,3,FDA label (openFDA)
fentanyl,opioid,phenytoin,antiepileptic_CYP_inducer,3,FDA label (openFDA)
fentanyl,opioid,tramadol,opioid,3,FDA label (openFDA)
fentanyl,opioid,diazepam,benzo,3,FDA label (openFDA)
diazepam,benzo,ketoconazole,antifungal_azole,1,FDA label (openFDA)
diazepam,benzo,omeprazole,PPI,1,FDA label (openFDA)
alprazolam,benzo,ketoconazole,antifungal_azole,4,FDA label (openFDA)
alprazolam,benzo,ritonavir,antiviral_HIV,4,FDA label (openFDA)
alprazolam,benzo,erythromycin,antibiotic_macrolide,2,FDA label (openFDA)
alprazolam,benzo,phenytoin,antiepileptic_CYP_inducer,2,FDA label (openFDA)
alprazolam,benzo,morphine,opioid,2,FDA label (openFDA)
alprazolam,benzo,oxycodone,opioid,2,FDA label (openFDA)
alprazolam,benzo,tramadol,opioid,1,FDA label (openFDA)
alprazolam,benzo,fentanyl,opioid,2,FDA label (openFDA)
clonazepam,benzo,fluconazole,antifungal_azole,1,FDA label (openFDA)
clonazepam,benzo,phenytoin,antiepileptic_CYP_inducer,2,FDA label (openFDA)
clonazepam,benzo,sertraline,SSRI,1,FDA label (openFDA)
clonazepam,benzo,fluoxetine,SSRI,1,FDA label (openFDA)
clonazepam,benzo,ranitidine,H2_blocker,1,FDA label (openFDA)
pantoprazole,PPI,digoxin,digoxin,3,FDA label (openFDA)
pantoprazole,PPI,warfarin,anticoagulant_warfarin,2,FDA label (openFDA)
pantoprazole,PPI,itraconazole,antifungal_azole,1,FDA label (openFDA)
pantoprazole,PPI,ketoconazole,antifungal_azole,1,FDA label (openFDA)
dexamethasone,corticosteroid,warfarin,anticoagulant_warfarin,2,FDA label (openFDA)
dexamethasone,corticosteroid,aspirin,antiplatelet,1,FDA label (openFDA)
dexamethasone,corticosteroid,ketoconazole,antifungal_azole,1,FDA label (openFDA)
dexamethasone,corticosteroid,erythromycin,antibiotic_macrolide,1,FDA label (openFDA)
dexamethasone,corticosteroid,phenytoin,antiepileptic_CYP_inducer,1,FDA label (openFDA)
dexamethasone,corticosteroid,cyclosporine,immunosuppressant,1,FDA label (openFDA)
